image_id,X,Y,W,H
000005.png,0.489258,0.583,0.702637,0.192
000010.png,0.481812,0.091,0.716553,0.182
000013.png,0.484985,0.844,0.700928,0.196
000014.png,0.486328,0.66,0.703125,0.194
000017.png,0.483643,0.5795,0.696289,0.189
000019.png,0.487061,0.2035,0.708008,0.203
000021.png,0.477417,0.638,0.691162,0.18
000023.png,0.491333,0.685,0.706787,0.198
000028.png,0.487549,0.1445,0.710449,0.199
000029.png,0.482544,0.089,0.72876,0.178
000032.png,0.487549,0.7215,0.712402,0.191
000036.png,0.485718,0.432,0.69751,0.192
000037.png,0.487549,0.299,0.695801,0.186
000041.png,0.50293,0.7295,0.708984,0.185
000043.png,0.481567,0.634,0.694092,0.176
000046.png,0.485107,0.1345,0.702637,0.191
000050.png,0.485596,0.558,0.706543,0.194
000055.png,0.485962,0.583,0.680908,0.18
000055.png,0.4823,0.0835,0.727295,0.167
000058.png,0.487793,0.5345,0.69043,0.205
000059.png,0.485229,0.471,0.710693,0.19
000060.png,0.480469,0.8825,0.697266,0.191
000064.png,0.484375,0.084,0.725586,0.168
000068.png,0.488647,0.504,0.699951,0.196
000069.png,0.486572,0.498,0.694824,0.192
000076.png,0.483398,0.502,0.696777,0.186
000077.png,0.487671,0.499,0.697021,0.204
000086.png,0.488159,0.5105,0.698486,0.215
000092.png,0.483521,0.86,0.717529,0.188
000094.png,0.489746,0.3825,0.710938,0.197
000095.png,0.489868,0.659,0.712646,0.202
000100.png,0.72937,0.13,0.255127,0.154
000104.png,0.487915,0.5265,0.704834,0.187
000108.png,0.486206,0.9115,0.702881,0.177
000109.png,0.485107,0.384,0.70166,0.188
000110.png,0.484375,0.5395,0.706055,0.183
000113.png,0.48938,0.498,0.69751,0.194
000117.png,0.487793,0.258,0.700684,0.184
000117.png,0.490601,0.9085,0.713623,0.183
000122.png,0.487427,0.476,0.714111,0.188
000127.png,0.482788,0.086,0.734131,0.172
000131.png,0.489746,0.543,0.702637,0.192
000136.png,0.485474,0.103,0.704346,0.196
000140.png,0.485107,0.705,0.713379,0.2
000145.png,0.488281,0.2575,0.696289,0.193
000149.png,0.489624,0.656,0.706299,0.196
000153.png,0.484131,0.891,0.70459,0.194
000154.png,0.4823,0.167,0.721924,0.23
000158.png,0.487305,0.8195,0.715332,0.211
000161.png,0.48291,0.448,0.691895,0.18
000163.png,0.484985,0.468,0.713623,0.204
000168.png,0.491577,0.08,0.732666,0.16
000168.png,0.486816,0.894,0.693359,0.186
