images id,defect_flag
000001.png,0
000002.png,0
000003.png,1
000004.png,0
000005.png,1
000006.png,0
000007.png,0
000008.png,1
000009.png,0
000010.png,1
000011.png,0
000012.png,0
000013.png,1
000014.png,1
000015.png,0
000016.png,0
000017.png,0
000018.png,1
000019.png,1
000020.png,0
000021.png,0
000022.png,0
000023.png,1
000024.png,0
000025.png,0
000026.png,0
000027.png,0
000028.png,1
000029.png,0
000030.png,0
000031.png,0
000032.png,1
000033.png,0
000034.png,0
000035.png,0
000036.png,0
000037.png,1
000038.png,0
000039.png,0
000040.png,0
000041.png,0
000042.png,0
000043.png,0
000044.png,0
000045.png,0
000046.png,1
000047.png,1
000048.png,0
000049.png,0
000050.png,1
000051.png,0
000052.png,0
000053.png,0
000054.png,0
000055.png,1
000056.png,0
000057.png,1
000058.png,0
000059.png,1
000060.png,0
000061.png,0
000062.png,1
000063.png,0
000064.png,1
000065.png,0
000066.png,1
000067.png,0
000068.png,1
000069.png,0
000070.png,0
000071.png,0
000072.png,0
000073.png,0
000074.png,0
000075.png,0
000076.png,1
000077.png,0
000078.png,0
000079.png,0
000080.png,0
000081.png,0
000082.png,0
000083.png,0
000084.png,0
000085.png,0
000086.png,1
000087.png,0
000088.png,0
000089.png,0
000090.png,1
000091.png,1
000092.png,0
000093.png,0
000094.png,0
000095.png,1
000096.png,0
000097.png,0
000098.png,0
000099.png,1
000100.png,1
000101.png,1
000102.png,0
000103.png,0
000104.png,1
000105.png,1
000106.png,0
000107.png,0
000108.png,1
000109.png,0
000110.png,1
000111.png,0
000112.png,0
000113.png,1
000114.png,0
000115.png,1
000116.png,0
000117.png,1
000118.png,0
000119.png,0
000120.png,1
000121.png,0
000122.png,1
000123.png,0
000124.png,0
000125.png,0
000126.png,0
000127.png,1
000128.png,0
000129.png,1
000130.png,0
000131.png,1
000132.png,0
000133.png,0
000134.png,1
000135.png,0
000136.png,1
000137.png,0
000138.png,0
000139.png,1
000140.png,1
000141.png,0
000142.png,0
000143.png,0
000144.png,0
000145.png,1
000146.png,0
000147.png,0
000148.png,0
000149.png,0
000150.png,0
000151.png,0
000152.png,0
000153.png,0
000154.png,1
000155.png,0
000156.png,0
000157.png,0
000158.png,0
000159.png,1
000160.png,0
000161.png,0
000162.png,0
000163.png,1
000164.png,1
000165.png,0
000166.png,0
000167.png,0
000168.png,1
000169.png,0
000170.png,0
000171.png,0
000172.png,1
000173.png,0
000174.png,0
000175.png,0
000176.png,0
000177.png,1
000178.png,1
000179.png,0
000180.png,0
000181.png,1
000182.png,0
000183.png,1
000184.png,0
000185.png,0
000186.png,1
000187.png,0
000188.png,1
000189.png,0
000190.png,0
000191.png,0
000192.png,0
000193.png,1
000194.png,0
000195.png,1
000196.png,0
000197.png,0
000198.png,0
000199.png,1
000200.png,0
000201.png,0
000202.png,0
000203.png,1
000204.png,1
000205.png,0
000206.png,0
000207.png,1
000208.png,1
000209.png,0
000210.png,0
000211.png,0
000212.png,0
000213.png,1
000214.png,0
000215.png,0
000216.png,0
000217.png,0
000218.png,0
000219.png,0
000220.png,0
000221.png,0
000222.png,1
000223.png,0
000224.png,0
000225.png,0
000226.png,0
000227.png,0
000228.png,0
000229.png,0
000230.png,0
000231.png,1
000232.png,1
000233.png,0
000234.png,0
000235.png,1
000236.png,0
000237.png,0
000238.png,0
000239.png,0
000240.png,1
000241.png,1
000242.png,0
000243.png,0
000244.png,1
000245.png,0
000246.png,1
000247.png,0
000248.png,0
000249.png,1
000250.png,0
000251.png,0
000252.png,0
000253.png,0
000254.png,0
000255.png,0
000256.png,0
000257.png,0
000258.png,1
000259.png,0
000260.png,0
000261.png,1
000262.png,0
000263.png,1
000264.png,0
000265.png,0
000266.png,1
000267.png,1
000268.png,0
000269.png,0
000270.png,0
000271.png,0
000272.png,1
000273.png,0
000274.png,0
000275.png,0
000276.png,0
000277.png,0
000278.png,0
000279.png,0
000280.png,0
000281.png,1
000282.png,0
000283.png,0
000284.png,0
000285.png,1
000286.png,1
000287.png,0
000288.png,0
000289.png,0
000290.png,1
000291.png,0
000292.png,0
000293.png,0
000294.png,0
000295.png,1
000296.png,0
000297.png,0
000298.png,0
000299.png,1
000300.png,1
000301.png,0
000302.png,0
000303.png,0
000304.png,1
000305.png,1
000306.png,0
000307.png,0
000308.png,1
000309.png,0
000310.png,0
000311.png,1
000312.png,0
000313.png,1
000314.png,1
000315.png,0
000316.png,0
000317.png,0
000318.png,1
000319.png,1
000320.png,0
000321.png,0
000322.png,1
000323.png,0
000324.png,0
000325.png,0
000326.png,0
000327.png,1
000328.png,0
000329.png,1
000330.png,0
000331.png,1
000332.png,0
000333.png,0
000334.png,1
000335.png,0
000336.png,1
000337.png,0
000338.png,0
000339.png,0
000340.png,0
000341.png,0
000342.png,0
000343.png,0
000344.png,0
000345.png,1
000346.png,0
000347.png,0
000348.png,0
000349.png,0
000350.png,0
000351.png,0
000352.png,0
000353.png,0
000354.png,1
000355.png,0
000356.png,0
000357.png,0
000358.png,1
000359.png,1
000360.png,0
000361.png,0
000362.png,0
000363.png,1
000364.png,0
000365.png,0
000366.png,0
000367.png,0
000368.png,1
000369.png,0
000370.png,0
000371.png,0
000372.png,0
000373.png,1
000374.png,0
000375.png,0
000376.png,0
000377.png,1
000378.png,0
000379.png,0
000380.png,0
000381.png,0
000382.png,1
000383.png,1
000384.png,1
000385.png,0
000386.png,1
000387.png,0
000388.png,1
000389.png,0
000390.png,0
000391.png,1
000392.png,0
000393.png,0
000394.png,0
000395.png,0
000396.png,0
000397.png,0
000398.png,0
000399.png,0
000400.png,0
000401.png,0
000402.png,0
000403.png,0
000404.png,1
000405.png,0
000406.png,0
000407.png,1
000408.png,0
000409.png,1
000410.png,0
000411.png,0
000412.png,1
000413.png,1
000414.png,0
000415.png,0
000416.png,0
000417.png,1
000418.png,1
000419.png,0
000420.png,0
000421.png,0
000422.png,1
000423.png,1
000424.png,0
000425.png,0
000426.png,0
000427.png,1
000428.png,0
000429.png,0
000430.png,0
000431.png,0
000432.png,1
000433.png,0
000434.png,0
000435.png,0
000436.png,1
000437.png,0
000438.png,0
000439.png,0
000440.png,0
000441.png,1
000442.png,0
000443.png,0
000444.png,0
000445.png,0
000446.png,1
